canonical_key,artist,track,old_watch_url,old_video_id,new_watch_url,new_video_id,status,resolver_reason
sp:6sHsXIJoEN5JpdkGMQDJxt,Brandy,The Boy Is Mine,https://www.youtube.com/watch?v=qSIOp_K5GMw,qSIOp_K5GMw,https://www.youtube.com/watch?v=qSIOp_K5GMw,qSIOp_K5GMw,unplayable_resolver_returned_unplayable,reranked resolver candidate: Brandy & Monica - The Boy Is Mine (Official Video) | Brandy
sp:7EySX8ldJHoeWjJhJyZ8Tq,Mon Laferte,Si Tú Me Quisieras,https://www.youtube.com/watch?v=y73MCzGi3s4,y73MCzGi3s4,https://www.youtube.com/watch?v=i9_apne18Lk,i9_apne18Lk,unplayable_replaced_by_resolver,"cache hit: Mon Laferte - Si Tu Me Quisieras (Audio) | Mon Laferte | views=82,667,382"
sp:01ZepwW5W3Z4fwl4bzaHyY,Brantley Gilbert,Kick It In The Sticks,https://www.youtube.com/watch?v=ve8sNTqrzCw,ve8sNTqrzCw,https://www.youtube.com/watch?v=ve8sNTqrzCw,ve8sNTqrzCw,unplayable_resolver_returned_unplayable,reranked resolver candidate: Brantley Gilbert - Kick It In The Sticks (Official Music Video) | Brantley Gilbert
sp:2psl5iNJCrmmm2XtS7LZqb,Rema,Soundgasm,https://www.youtube.com/watch?v=nrTkERuwdCc,nrTkERuwdCc,https://www.youtube.com/watch?v=nrTkERuwdCc,nrTkERuwdCc,unplayable_resolver_returned_unplayable,reranked resolver candidate: Rema - Soundgasm (Official Music Video) | Rema
sp:0G0WC5ghZRRH6LJNNXtK1W,Alonzo,Santana,https://www.youtube.com/watch?v=J7GL8kO-DBw,J7GL8kO-DBw,https://www.youtube.com/watch?v=J7GL8kO-DBw,J7GL8kO-DBw,unplayable_resolver_returned_unplayable,reranked resolver candidate: Alonzo - Santana | Alonzo
sp:50xeLNGKmskmYUSINhqvfa,Fergie,Clumsy,https://www.youtube.com/watch?v=tf_gPZSDIxI,tf_gPZSDIxI,https://www.youtube.com/watch?v=tf_gPZSDIxI,tf_gPZSDIxI,unplayable_resolver_returned_unplayable,reranked resolver candidate: Fergie - Clumsy | Fergie
sp:5dDxdj2MrqrYCGzqXfJycL,Beret,AYNEA REMIX,https://www.youtube.com/watch?v=gqkQzNaP920,gqkQzNaP920,https://www.youtube.com/watch?v=gqkQzNaP920,gqkQzNaP920,unplayable_resolver_returned_unplayable,"reranked resolver candidate: FMK, Maria Becerra, Beret - AYNEA REMIX (Official Video) | FMK"
sp:5LYJ631w9ps5h9tdvac7yP,Phil Collins,Easy Lover,https://www.youtube.com/watch?v=JkRKT6T0QLg,JkRKT6T0QLg,https://www.youtube.com/watch?v=JkRKT6T0QLg,JkRKT6T0QLg,kept_direct_playable,
sp:6lFUdRItQEsEuD7dSINL47,Bring Me The Horizon,Follow You,https://www.youtube.com/watch?v=-tVWt2RDsoM,-tVWt2RDsoM,https://www.youtube.com/watch?v=-tVWt2RDsoM,-tVWt2RDsoM,unplayable_resolver_returned_unplayable,"cache hit: Bring Me The Horizon - Follow You (Official Video) | Bring Me The Horizon | views=42,283,381"
sp:09YHm6IkdZko28KdEbXtPb,Rod Wave,Girl Of My Dreams,https://www.youtube.com/watch?v=-uOdzsteXvk,-uOdzsteXvk,https://www.youtube.com/watch?v=-uOdzsteXvk,-uOdzsteXvk,kept_direct_playable,
